ms148351;Sheep;
msopph192;Sheep;
ms159342;Sheep;
msmeh72;Sheep;
msmeh71;Sheep;
ms159341;Sheep;
mshap11;Sheep;
ms1556142;Sheep;
ms1240111;Calf;Sheep
ms1556131;Sheep;
ms1482162;Sheep;
msfkat91;Calf;
ms159332;Sheep;
ms1240121;Calf;Sheep
ms1240112;Calf;Sheep
ms1556141;Sheep;
mshap22;Sheep;
ms1482161;Sheep;
msmeh82;Sheep;
msfkat102;Calf;
msfkat101;Calf;
ms148362;Sheep;
ms499181;Sheep;
ms1482151;Sheep;
ms148361;Sheep;
msfkat92;Calf;
ms499171;Sheep;
ms148352;Sheep;
ms1556132;Sheep;
ms1482152;Sheep;
msopph202;Sheep;
ms159331;Sheep;
ms499172;Sheep;
mshap21;Sheep;
msopph191;Sheep;
msopph201;Sheep;
msmeh81;Sheep;
ms499182;Sheep;
mshap12;Sheep;
ms1240122;Calf;Sheep
