Sample ID, Description, Type, CBDep
Empty Chamber, , Sample, On
TDVeauUK 12, , Sample, On
TDVeauUK 22, , Sample, On
TDVeauUK 32, , Sample, On
TDVeauUK 42, , Sample, On
TDVeauUK 52, , Sample, On
TDVeauUK 62, , Sample, On
TDVeauAl 12, , Sample, On
TDVeauAl 22, , Sample, On
TDVeauAl 32, , Sample, On
TDVeauAl 42, , Sample, On
TDVeauAl 52, , Sample, On
TDVeauAl 62, , Sample, On
TDAgneauUK 12, , Sample, On
TDAgneauUK 22, , Sample, On
TDAgneauUK 42, , Sample, On
TDAgneauUK 52, , Sample, On
TDAgneauUK 62, , Sample, On
TDAgneauUK 32, , Sample, On
